date,pm2.5,pm10,temp,humidity
2019.9.16 19:25,2,4,25.9,51.8
2019.9.16 19:25,2,3,25.9,51.7
2019.9.16 19:25,2,3,25.9,51.7
2019.9.16 19:25,3,4,25.9,51.7
2019.9.16 19:25,3,4,25.9,51.7
2019.9.16 19:25,3,3,25.9,51.7
2019.9.16 19:26,3,3,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.6
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,1,2,25.9,51.7
2019.9.16 19:26,1,2,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,3,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:26,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,2,2,25.9,51.7
2019.9.16 19:27,1,1,25.8,51.6
2019.9.16 19:27,1,1,25.8,51.6
2019.9.16 19:27,2,3,25.9,51.7
2019.9.16 19:27,2,3,25.9,51.6
2019.9.16 19:27,2,3,25.9,51.6
2019.9.16 19:27,2,3,25.9,51.5
2019.9.16 19:27,2,3,25.8,51.4
2019.9.16 19:27,2,3,25.9,51.5
2019.9.16 19:27,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.5
2019.9.16 19:28,4,4,25.9,51.4
2019.9.16 19:28,4,4,25.8,51.3
2019.9.16 19:28,4,4,25.9,51.4
2019.9.16 19:28,4,4,25.9,51.3
2019.9.16 19:28,4,5,25.8,51.2
2019.9.16 19:28,4,5,25.8,51.3
2019.9.16 19:28,3,5,25.8,51.3
2019.9.16 19:28,3,5,25.8,51.2
2019.9.16 19:28,3,5,25.8,51.1
2019.9.16 19:29,3,5,25.8,51.1
2019.9.16 19:29,3,5,25.8,51.2
2019.9.16 19:29,3,5,25.8,51.2
2019.9.16 19:29,3,3,25.8,51.2
2019.9.16 19:29,3,3,25.7,51.3
2019.9.16 19:29,3,3,25.7,51.4
2019.9.16 19:29,3,3,25.7,51.4
2019.9.16 19:29,3,3,25.8,51.5
2019.9.16 19:29,3,3,25.7,51.5
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:29,4,4,25.7,51.4
2019.9.16 19:30,4,4,25.7,51.4
2019.9.16 19:30,3,3,25.7,51.4
2019.9.16 19:30,3,3,25.7,51.4
2019.9.16 19:30,2,2,25.6,51.3
2019.9.16 19:30,2,2,25.7,51.4
2019.9.16 19:30,2,2,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.4
2019.9.16 19:30,3,3,25.6,51.4
2019.9.16 19:30,2,2,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.4
2019.9.16 19:30,1,1,25.6,51.5
2019.9.16 19:30,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.5
2019.9.16 19:31,3,3,25.6,51.6
2019.9.16 19:31,3,3,25.6,51.6
2019.9.16 19:31,3,3,25.5,51.5
2019.9.16 19:31,3,4,25.5,51.5
2019.9.16 19:31,3,4,25.5,51.6
2019.9.16 19:31,1,4,25.6,51.6
2019.9.16 19:31,1,4,25.6,51.6
2019.9.16 19:31,2,5,25.5,51.6
2019.9.16 19:31,2,5,25.5,51.5
2019.9.16 19:31,2,5,25.5,51.5
2019.9.16 19:32,2,5,25.6,51.6
2019.9.16 19:32,1,1,25.5,51.5
2019.9.16 19:32,1,1,25.5,51.6
2019.9.16 19:32,2,2,25.5,51.6
2019.9.16 19:32,2,2,25.5,51.4
2019.9.16 19:32,1,1,25.5,51.4
2019.9.16 19:32,1,1,25.5,51.3
2019.9.16 19:32,2,4,25.5,51.3
2019.9.16 19:32,2,4,25.5,51.3
2019.9.16 19:32,2,5,25.5,51.3
2019.9.16 19:32,2,5,25.5,51.4
2019.9.16 19:32,3,6,25.5,51.4
2019.9.16 19:33,3,6,25.5,51.4
2019.9.16 19:33,3,6,25.5,51.4
2019.9.16 19:33,3,6,25.5,51.4
2019.9.16 19:33,4,5,25.5,51.4
2019.9.16 19:33,4,5,25.5,51.4
2019.9.16 19:33,3,4,25.5,51.4
2019.9.16 19:33,3,4,25.5,51.4
2019.9.16 19:33,2,4,25.5,51.4
2019.9.16 19:33,2,4,25.5,51.3
2019.9.16 19:33,2,3,25.5,51.3
2019.9.16 19:33,2,3,25.5,51.3
2019.9.16 19:33,3,4,25.5,51.3
2019.9.16 19:34,2,3,25.4,51.3
2019.9.16 19:34,3,4,25.5,51.4
2019.9.16 19:34,3,4,25.5,51.4
2019.9.16 19:34,2,3,25.5,51.4
2019.9.16 19:34,2,3,25.4,51.3
2019.9.16 19:34,2,2,25.5,51.4
2019.9.16 19:34,2,2,25.5,51.4
2019.9.16 19:34,3,3,25.5,51.4
2019.9.16 19:34,3,3,25.4,51.3
2019.9.16 19:34,2,2,25.5,51.4
2019.9.16 19:34,3,3,25.4,51.3
2019.9.16 19:34,3,3,25.4,51.3
2019.9.16 19:35,3,3,25.4,51.3
2019.9.16 19:35,2,2,25.4,51.3
2019.9.16 19:35,2,2,25.4,51.3
2019.9.16 19:35,3,3,25.4,51.3
2019.9.16 19:35,3,3,25.4,51.3
2019.9.16 19:35,3,3,25.4,51.3
2019.9.16 19:35,3,3,25.3,51.3
2019.9.16 19:35,3,3,25.4,51.3
2019.9.16 19:35,2,2,25.4,51.4
2019.9.16 19:35,3,3,25.4,51.4
2019.9.16 19:35,3,3,25.4,51.4
2019.9.16 19:35,4,4,25.4,51.4
2019.9.16 19:36,4,4,25.4,51.4
2019.9.16 19:36,4,4,25.3,51.3
2019.9.16 19:36,4,4,25.4,51.4
2019.9.16 19:36,3,5,25.3,51.3
2019.9.16 19:36,3,5,25.4,51.4
2019.9.16 19:36,2,3,25.4,51.4
2019.9.16 19:36,3,4,25.4,51.4
2019.9.16 19:36,3,5,25.4,51.4
2019.9.16 19:36,2,4,25.4,51.4
2019.9.16 19:36,3,5,25.3,51.4
2019.9.16 19:36,3,5,25.4,51.4
2019.9.16 19:36,4,4,25.4,51.4
2019.9.16 19:37,4,4,25.4,51.4
2019.9.16 19:37,3,3,25.4,51.4
2019.9.16 19:37,3,3,25.4,51.5
2019.9.16 19:37,3,5,25.4,51.5
2019.9.16 19:37,3,5,25.4,51.5
2019.9.16 19:37,2,4,25.3,51.4
2019.9.16 19:37,2,4,25.4,51.5
2019.9.16 19:37,2,4,25.4,51.6
2019.9.16 19:37,2,4,25.4,51.6
2019.9.16 19:37,2,4,25.3,51.5
2019.9.16 19:37,2,4,25.4,51.6
2019.9.16 19:37,3,5,25.3,51.6
2019.9.16 19:38,3,5,25.4,51.6
2019.9.16 19:38,3,5,25.4,51.7
2019.9.16 19:38,3,5,25.4,51.7
2019.9.16 19:38,2,4,25.4,51.6
2019.9.16 19:38,2,4,25.4,51.7
2019.9.16 19:38,3,5,25.4,51.7
2019.9.16 19:38,3,5,25.3,51.7
2019.9.16 19:38,2,2,25.4,51.7
2019.9.16 19:38,2,2,25.4,51.8
2019.9.16 19:38,3,3,25.4,51.8
2019.9.16 19:38,3,3,25.3,51.7
2019.9.16 19:38,3,3,25.3,51.7
2019.9.16 19:39,2,2,25.4,51.8
2019.9.16 19:39,3,3,25.4,51.9
2019.9.16 19:39,3,3,25.4,51.9
2019.9.16 19:39,3,3,25.4,52
2019.9.16 19:39,3,3,25.4,52
2019.9.16 19:39,4,4,25.4,52
2019.9.16 19:39,4,4,25.4,52
2019.9.16 19:39,4,4,25.3,52
2019.9.16 19:39,4,4,25.4,52.1
2019.9.16 19:39,0,0,25.3,52
2019.9.16 19:39,3,3,25.4,52.1
2019.9.16 19:39,3,3,25.4,52.1
2019.9.16 19:40,3,3,25.4,52.1
2019.9.16 19:40,4,5,25.4,52.1
2019.9.16 19:40,4,5,25.4,52.2
2019.9.16 19:40,4,4,25.3,52.1
2019.9.16 19:40,4,5,25.4,52.2
2019.9.16 19:40,4,5,25.3,52.1
2019.9.16 19:40,5,5,25.4,52.1
2019.9.16 19:40,5,5,25.3,52.1
2019.9.16 19:40,2,4,25.4,52.2
2019.9.16 19:40,2,4,25.3,52.2
2019.9.16 19:40,3,4,25.3,52.2
2019.9.16 19:40,3,4,25.4,52.3
2019.9.16 19:41,3,5,25.3,52.3
2019.9.16 19:41,3,5,25.4,52.4
2019.9.16 19:41,2,4,25.3,52.3
2019.9.16 19:41,2,4,25.4,52.4
2019.9.16 19:41,3,3,25.4,52.4
2019.9.16 19:41,3,3,25.4,52.4
2019.9.16 19:41,3,3,25.4,52.4
2019.9.16 19:41,3,3,25.4,52.4
2019.9.16 19:41,2,2,25.4,52.4
2019.9.16 19:41,2,2,25.4,52.5
2019.9.16 19:41,1,1,25.4,52.5
2019.9.16 19:41,1,1,25.4,52.5
2019.9.16 19:42,1,1,25.4,52.6
2019.9.16 19:42,1,1,25.4,52.6
2019.9.16 19:42,1,2,25.4,52.6
2019.9.16 19:42,1,2,25.4,52.6
2019.9.16 19:42,2,3,25.3,52.5
2019.9.16 19:42,2,3,25.3,52.6
2019.9.16 19:42,1,2,25.4,52.6
2019.9.16 19:42,1,2,25.3,52.5
2019.9.16 19:42,2,3,25.4,52.6
2019.9.16 19:42,2,3,25.4,52.6
2019.9.16 19:42,1,1,25.4,52.6
2019.9.16 19:42,1,1,25.4,52.6
2019.9.16 19:43,1,2,25.4,52.6
2019.9.16 19:43,1,2,25.4,52.6
2019.9.16 19:43,2,3,25.4,52.6
2019.9.16 19:43,2,3,25.4,52.6
2019.9.16 19:43,2,3,25.4,52.6
2019.9.16 19:43,2,3,25.4,52.6
2019.9.16 19:43,3,3,25.4,52.6
2019.9.16 19:43,3,3,25.4,52.6
2019.9.16 19:43,4,4,25.4,52.6
2019.9.16 19:43,4,4,25.4,52.5
2019.9.16 19:43,3,3,25.4,52.5
2019.9.16 19:43,4,4,25.4,52.5
2019.9.16 19:44,4,4,25.4,52.5
2019.9.16 19:44,3,3,25.4,52.5
2019.9.16 19:44,2,2,25.4,52.5
2019.9.16 19:44,2,2,25.4,52.6
2019.9.16 19:44,3,3,25.4,52.6
2019.9.16 19:44,3,3,25.4,52.6
2019.9.16 19:44,2,2,25.4,52.6
2019.9.16 19:44,2,2,25.4,52.6
2019.9.16 19:44,2,2,25.4,52.6
2019.9.16 19:44,2,2,25.4,52.6
2019.9.16 19:44,2,2,25.5,52.6
2019.9.16 19:44,2,2,25.4,52.5
2019.9.16 19:45,3,3,25.5,52.6
2019.9.16 19:45,3,3,25.4,52.5
2019.9.16 19:45,4,4,25.4,52.5
2019.9.16 19:45,4,4,25.4,52.5
2019.9.16 19:45,3,3,25.4,52.6
2019.9.16 19:45,3,3,25.5,52.6
2019.9.16 19:45,2,2,25.4,52.6
2019.9.16 19:45,2,2,25.4,52.6
2019.9.16 19:45,3,3,25.4,52.6
2019.9.16 19:45,3,3,25.5,52.6
2019.9.16 19:45,3,3,25.4,52.6
2019.9.16 19:45,3,3,25.4,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:46,3,3,25.5,52.7
2019.9.16 19:46,3,3,25.4,52.6
2019.9.16 19:46,3,3,25.5,52.7
2019.9.16 19:46,3,3,25.4,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:46,3,3,25.4,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:46,3,3,25.4,52.6
2019.9.16 19:46,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,3,3,25.5,52.6
2019.9.16 19:47,2,2,25.5,52.6
2019.9.16 19:47,2,2,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,3,3,25.5,52.6
2019.9.16 19:48,1,1,25.5,52.6
2019.9.16 19:48,1,1,25.5,52.6
2019.9.16 19:49,2,2,25.5,52.5
2019.9.16 19:49,2,2,25.6,52.6
2019.9.16 19:49,0,0,25.5,52.5
2019.9.16 19:49,0,0,25.5,52.5
2019.9.16 19:49,2,2,25.6,52.6
2019.9.16 19:49,2,2,25.6,52.6
2019.9.16 19:49,2,2,25.6,52.6
2019.9.16 19:49,2,2,25.6,52.6
2019.9.16 19:49,3,3,25.5,52.5
2019.9.16 19:49,3,3,25.6,52.6
2019.9.16 19:49,3,3,25.6,52.6
2019.9.16 19:49,3,3,25.6,52.6
2019.9.16 19:50,2,2,25.6,52.6
2019.9.16 19:50,2,2,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.5,52.5
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.6,52.6
2019.9.16 19:50,3,3,25.5,52.5
2019.9.16 19:51,3,3,25.5,52.5
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:51,4,4,25.6,52.6
2019.9.16 19:51,4,4,25.6,52.6
2019.9.16 19:51,3,3,25.6,52.6
2019.9.16 19:52,3,3,25.6,52.6
2019.9.16 19:52,3,3,25.6,52.6
2019.9.16 19:52,3,3,25.6,52.6
2019.9.16 19:52,2,2,25.6,52.6
2019.9.16 19:52,2,2,25.6,52.6
2019.9.16 19:52,2,2,25.6,52.5
2019.9.16 19:52,3,3,25.6,52.5
2019.9.16 19:52,3,3,25.6,52.5
2019.9.16 19:52,3,3,25.6,52.5
2019.9.16 19:52,3,3,25.6,52.5
2019.9.16 19:52,3,3,25.6,52.5
2019.9.16 19:52,2,2,25.6,52.5
2019.9.16 19:53,2,2,25.6,52.5
2019.9.16 19:53,3,3,25.6,52.5
2019.9.16 19:53,3,3,25.6,52.5
2019.9.16 19:53,2,2,25.6,52.5
2019.9.16 19:53,2,2,25.6,52.5
2019.9.16 19:53,2,2,25.6,52.5
2019.9.16 19:53,2,2,25.6,52.5
2019.9.16 19:53,2,3,25.6,52.5
2019.9.16 19:53,2,3,25.6,52.5
2019.9.16 19:53,3,4,25.6,52.5
2019.9.16 19:53,3,4,25.6,52.5
2019.9.16 19:53,3,4,25.6,52.5
2019.9.16 19:54,3,4,25.7,52.5
2019.9.16 19:54,3,4,25.6,52.4
2019.9.16 19:54,3,4,25.6,52.5
2019.9.16 19:54,3,5,25.7,52.5
2019.9.16 19:54,3,5,25.7,52.6
2019.9.16 19:54,4,5,25.6,52.5
2019.9.16 19:54,4,5,25.6,52.5
2019.9.16 19:54,3,5,25.6,52.5
2019.9.16 19:54,3,5,25.6,52.5
2019.9.16 19:54,3,3,25.7,52.5
2019.9.16 19:54,3,3,25.6,52.5
2019.9.16 19:54,3,3,25.6,52.5
2019.9.16 19:55,3,3,25.6,52.5
2019.9.16 19:55,4,4,25.7,52.5
2019.9.16 19:55,4,4,25.7,52.5
2019.9.16 19:55,3,3,25.7,52.5
2019.9.16 19:55,3,3,25.6,52.4
2019.9.16 19:55,3,3,25.7,52.5